"district","date","variable","value"
"8",1980-05-01,"eddi3",-1.02809834976991
"80",1980-05-01,"eddi3",-0.851773446256464
"9",1980-05-01,"eddi3",-0.933510756492615
"1",1980-06-01,"eddi3",-1.44806741698971
"10",1980-06-01,"eddi3",-1.0929655520355
"11",1980-06-01,"eddi3",-1.09180688619614
"12",1980-06-01,"eddi3",-0.983474335609338
"13",1980-06-01,"eddi3",-0.80686319536633
"14",1980-06-01,"eddi3",-1.03832063985908
"15",1980-06-01,"eddi3",-0.771204763650894
"16",1980-06-01,"eddi3",-0.700254773100217
"17",1980-06-01,"eddi3",-1.3069863460958
"18",1980-06-01,"eddi3",-0.98907368523734
"19",1980-06-01,"eddi3",-1.30548152266716
"2",1980-06-01,"eddi3",-1.45053482055664
"20",1980-06-01,"eddi3",-0.422875768099076
"21",1980-06-01,"eddi3",-0.428391373157501
"22",1980-06-01,"eddi3",-0.548228099942207
"23",1980-06-01,"eddi3",-1.21921435594559
"24",1980-06-01,"eddi3",-0.594314987460772
"25",1980-06-01,"eddi3",-0.675910013062613
"26",1980-06-01,"eddi3",-0.900637149810791
"27",1980-06-01,"eddi3",-0.491478234529495
"28",1980-06-01,"eddi3",-0.992796427673764
"29",1980-06-01,"eddi3",-1.0632457775729
"3",1980-06-01,"eddi3",-1.47330205007033
"30",1980-06-01,"eddi3",-1.45315127937417
"31",1980-06-01,"eddi3",-1.65117833515008
"32",1980-06-01,"eddi3",-1.89714220323061
"33",1980-06-01,"eddi3",-2.08748626708984
"34",1980-06-01,"eddi3",-2.08748626708984
"35",1980-06-01,"eddi3",-0.308820657870349
"36",1980-06-01,"eddi3",-1.45817269881566
"37",1980-06-01,"eddi3",-0.372297202839571
"38",1980-06-01,"eddi3",-0.719394584496816
"39",1980-06-01,"eddi3",-0.687816344774686
"4",1980-06-01,"eddi3",-1.23578531344732
"40",1980-06-01,"eddi3",-0.767987648161446
"41",1980-06-01,"eddi3",-0.475313484668732
"42",1980-06-01,"eddi3",-0.832840350541202
"43",1980-06-01,"eddi3",-1.33023156411946
"44",1980-06-01,"eddi3",-2.04770969152451
