Date,36_AGG_IrrigDemand,36_AGG_IrrigSupply,36_AGG_IrrigShortage,36_AGG_IrrigSupDirectFlow,36_AGG_MunDemand,36_AGG_MunSupply,36_AGG_MunShortage,36_ADC017_IrrigDemand,36_ADC018_IrrigDemand,36_ADC019_IrrigDemand,36_ADC017_IrrigSupply,36_ADC018_IrrigSupply,36_ADC019_IrrigSupply,36_ADC017_IrrigShortage,36_ADC018_IrrigShortage,36_ADC019_IrrigShortage,36_ADC017_IrrigSupDirectFlow,36_ADC018_IrrigSupDirectFlow,36_ADC019_IrrigSupDirectFlow,3600649_D_IrrigDemand,3600649_D_IrrigSupply,3600649_D_IrrigShortage,3600649_D_IrrigSupDirectFlow,3600662_D_IrrigDemand,3600662_D_IrrigSupply,3600662_D_IrrigShortage,3600662_D_IrrigSupDirectFlow,3600776_D_IrrigDemand,3600776_D_IrrigSupply,3600776_D_IrrigShortage,3600776_D_IrrigSupDirectFlow,3600868_D_IrrigDemand,3600868_D_IrrigSupply,3600868_D_IrrigShortage,3600868_D_IrrigSupDirectFlow,36_KeyMun_MunDemand,36_KeyMun_MunSupply,36_KeyMun_MunShortage
1973-05,5770.0001,5770.0001,0.0000,5770.0001,29.0000,29.0000,.0000,1248.0000,873.0000,1259.0000,1248.0000,873.0000,1259.0000,0.0000,0.0000,0.0000,1248.0000,873.0000,1259.0000,500.0001,500.0001,0.0000,500.0001,1419.0000,1419.0000,0.0000,1419.0000,300.0000,300.0000,0.0000,300.0000,171.0000,171.0000,0.0000,171.0000,29.0000,29.0000,.0000
1973-06,17335.0001,17335.0001,0.0000,17335.0001,46.0000,46.0000,0.0000,4636.0000,2614.0000,1765.0000,4636.0000,2614.0000,1765.0000,0.0000,0.0000,0.0000,4636.0000,2614.0000,1765.0000,2433.0002,2433.0002,0.0000,2433.0002,3839.0000,3839.0000,0.0000,3839.0000,1497.9999,1497.9999,0.0000,1497.9999,550.0000,550.0000,0.0000,550.0000,46.0000,46.0000,0.0000
1973-07,25451.0004,25451.0005,0.0000,25451.0005,67.0000,67.0000,0.0000,9538.0000,4064.0000,1518.0000,9538.0000,4064.0000,1518.0001,0.0000,0.0000,0.0000,9538.0000,4064.0000,1518.0001,4564.0000,4564.0000,0.0000,4564.0000,2621.0002,2621.0002,0.0000,2621.0002,1842.0001,1842.0001,0.0000,1842.0001,1304.0000,1304.0000,0.0000,1304.0000,67.0000,67.0000,0.0000
1973-08,12918.0001,12983.0655,0.0000,12918.0001,47.0000,47.0000,0.0000,6735.0000,1873.0001,580.0000,6735.0000,1873.0001,614.7999,0.0000,0.0000,0.0000,6735.0000,1873.0001,580.0000,1267.0000,1267.0000,0.0000,1267.0000,562.0000,592.2654,0.0000,562.0000,942.0000,942.0000,0.0000,942.0000,959.0000,959.0000,0.0000,959.0000,47.0000,47.0000,0.0000
1973-09,5012.9998,5048.0307,13.0000,4999.9998,31.0000,31.0000,.0000,1789.9999,840.0000,523.0000,1789.9999,840.0000,554.5800,0.0000,0.0000,0.0000,1789.9999,840.0000,523.0000,725.9999,725.9999,0.0000,725.9999,307.0000,323.4510,0.0000,307.0000,632.9999,632.9999,0.0000,632.9999,194.0000,181.0000,13.0000,181.0000,31.0000,31.0000,.0000
1973-10,2812.9999,2781.4199,42.0000,2715.9040,22.0000,22.0000,.0000,1090.9999,507.0000,177.0000,1090.9999,507.0000,187.4200,0.0000,0.0000,0.0000,1090.9999,507.0000,177.0000,400.0000,388.0000,12.0000,388.0000,105.0000,105.0000,0.0000,49.9041,400.0000,400.0000,0.0000,400.0000,133.0000,103.0000,30.0000,103.0000,22.0000,22.0000,.0000
1973-11,55.0000,55.0000,0.0000,55.0000,23.0000,23.0000,.0000,41.0000,11.0000,0.0000,41.0000,11.0000,0.0000,0.0000,0.0000,0.0000,41.0000,11.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,3.0000,0.0000,3.0000,23.0000,23.0000,.0000
1973-12,33.0000,33.0000,0.0000,33.0000,30.0000,30.0000,.0000,32.0000,1.0000,0.0000,32.0000,1.0000,0.0000,0.0000,0.0000,0.0000,32.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,30.0000,.0000
1974-01,119.0000,119.0000,0.0000,119.0000,28.0000,28.0000,.0000,22.0000,0.0000,0.0000,22.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.0000,97.0000,0.0000,97.0000,0.0000,0.0000,0.0000,0.0000,28.0000,28.0000,.0000
1974-02,218.0000,218.0000,0.0000,218.0000,29.0000,29.0000,.0000,14.0000,1.0000,0.0000,14.0000,1.0000,0.0000,0.0000,0.0000,0.0000,14.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,203.0000,203.0000,0.0000,203.0000,0.0000,0.0000,0.0000,0.0000,29.0000,29.0000,.0000
