"Date","99_AGG_IrrigDemand","99_AGG_IrrigSupply","99_AGG_IrrigShortage","99_AGG_IrrigSupDirectFlow","99_AGG_MunDemand","99_AGG_MunSupply","99_AGG_MunShortage","9900528_MunDemand","9900528_MunSupply","9900528_MunShortage"
"1995-04",NA,NA,NA,NA,341,341,0,341,341,0
"1995-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"1995-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"1995-07",NA,NA,NA,NA,640,640,0,640,640,0
"1995-08",NA,NA,NA,NA,84,84,0,84,84,0
"1995-09",NA,NA,NA,NA,43,43,0,43,43,0
"1995-10",NA,NA,NA,NA,59,59,0,59,59,0
"1995-11",NA,NA,NA,NA,57,57,0,57,57,0
"1995-12",NA,NA,NA,NA,56,56,0,56,56,0
"1996-01",NA,NA,NA,NA,52,52,0,52,52,0
"1996-02",NA,NA,NA,NA,45,45,0,45,45,0
"1996-03",NA,NA,NA,NA,54,54,0,54,54,0
"1996-04",NA,NA,NA,NA,341,341,0,341,341,0
"1996-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"1996-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"1996-07",NA,NA,NA,NA,640,640,0,640,640,0
"1996-08",NA,NA,NA,NA,84,84,0,84,84,0
"1996-09",NA,NA,NA,NA,43,43,0,43,43,0
"1996-10",NA,NA,NA,NA,59,59,0,59,59,0
"1996-11",NA,NA,NA,NA,57,57,0,57,57,0
"1996-12",NA,NA,NA,NA,56,56,0,56,56,0
"1997-01",NA,NA,NA,NA,52,52,0,52,52,0
"1997-02",NA,NA,NA,NA,45,45,0,45,45,0
"1997-03",NA,NA,NA,NA,54,54,0,54,54,0
"1997-04",NA,NA,NA,NA,341,341,0,341,341,0
"1997-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"1997-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"1997-07",NA,NA,NA,NA,640,640,0,640,640,0
"1997-08",NA,NA,NA,NA,84,84,0,84,84,0
"1997-09",NA,NA,NA,NA,43,43,0,43,43,0
"1997-10",NA,NA,NA,NA,59,59,0,59,59,0
"1997-11",NA,NA,NA,NA,57,57,0,57,57,0
"1997-12",NA,NA,NA,NA,56,56,0,56,56,0
"1998-01",NA,NA,NA,NA,52,52,0,52,52,0
"1998-02",NA,NA,NA,NA,45,45,0,45,45,0
"1998-03",NA,NA,NA,NA,54,54,0,54,54,0
"1998-04",NA,NA,NA,NA,341,341,0,341,341,0
"1998-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"1998-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"1998-07",NA,NA,NA,NA,640,640,0,640,640,0
"1998-08",NA,NA,NA,NA,84,84,0,84,84,0
"1998-09",NA,NA,NA,NA,43,43,0,43,43,0
"1998-10",NA,NA,NA,NA,59,59,0,59,59,0
"1998-11",NA,NA,NA,NA,57,57,0,57,57,0
"1998-12",NA,NA,NA,NA,56,56,0,56,56,0
"1999-01",NA,NA,NA,NA,52,52,0,52,52,0
"1999-02",NA,NA,NA,NA,45,45,0,45,45,0
"1999-03",NA,NA,NA,NA,54,54,0,54,54,0
"1999-04",NA,NA,NA,NA,341,341,0,341,341,0
"1999-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"1999-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"1999-07",NA,NA,NA,NA,640,640,0,640,640,0
"1999-08",NA,NA,NA,NA,84,84,0,84,84,0
"1999-09",NA,NA,NA,NA,43,43,0,43,43,0
"1999-10",NA,NA,NA,NA,59,59,0,59,59,0
"1999-11",NA,NA,NA,NA,57,57,0,57,57,0
"1999-12",NA,NA,NA,NA,56,56,0,56,56,0
"2000-01",NA,NA,NA,NA,52,52,0,52,52,0
"2000-02",NA,NA,NA,NA,45,45,0,45,45,0
"2000-03",NA,NA,NA,NA,54,54,0,54,54,0
"2000-04",NA,NA,NA,NA,341,341,0,341,341,0
"2000-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"2000-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"2000-07",NA,NA,NA,NA,640,640,0,640,640,0
"2000-08",NA,NA,NA,NA,84,0,84,84,0,84
"2000-09",NA,NA,NA,NA,43,43,0,43,43,0
"2000-10",NA,NA,NA,NA,59,59,0,59,59,0
"2000-11",NA,NA,NA,NA,57,57,0,57,57,0
"2000-12",NA,NA,NA,NA,56,56,0,56,56,0
"2001-01",NA,NA,NA,NA,52,52,0,52,52,0
"2001-02",NA,NA,NA,NA,45,45,0,45,45,0
"2001-03",NA,NA,NA,NA,54,54,0,54,54,0
"2001-04",NA,NA,NA,NA,341,341,0,341,341,0
"2001-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"2001-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"2001-07",NA,NA,NA,NA,640,640,0,640,640,0
"2001-08",NA,NA,NA,NA,84,84,0,84,84,0
"2001-09",NA,NA,NA,NA,43,0,43,43,0,43
"2001-10",NA,NA,NA,NA,59,0,59,59,0,59
"2001-11",NA,NA,NA,NA,57,57,0,57,57,0
"2001-12",NA,NA,NA,NA,56,56,0,56,56,0
"2002-01",NA,NA,NA,NA,52,52,0,52,52,0
"2002-02",NA,NA,NA,NA,45,45,0,45,45,0
"2002-03",NA,NA,NA,NA,54,54,0,54,54,0
"2002-04",NA,NA,NA,NA,341,341,0,341,341,0
"2002-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"2002-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"2002-07",NA,NA,NA,NA,640,0,640,640,0,640
"2002-08",NA,NA,NA,NA,84,0,84,84,0,84
"2002-09",NA,NA,NA,NA,43,0,43,43,0,43
"2002-10",NA,NA,NA,NA,59,0,59,59,0,59
"2002-11",NA,NA,NA,NA,57,57,0,57,57,0
"2002-12",NA,NA,NA,NA,56,56,0,56,56,0
"2003-01",NA,NA,NA,NA,52,52,0,52,52,0
"2003-02",NA,NA,NA,NA,45,45,0,45,45,0
"2003-03",NA,NA,NA,NA,54,54,0,54,54,0
"2003-04",NA,NA,NA,NA,341,341,0,341,341,0
"2003-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"2003-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"2003-07",NA,NA,NA,NA,640,640,0,640,640,0
"2003-08",NA,NA,NA,NA,84,0,84,84,0,84
"2003-09",NA,NA,NA,NA,43,0,43,43,0,43
"2003-10",NA,NA,NA,NA,59,0,59,59,0,59
"2003-11",NA,NA,NA,NA,57,57,0,57,57,0
"2003-12",NA,NA,NA,NA,56,56,0,56,56,0
"2004-01",NA,NA,NA,NA,52,52,0,52,52,0
"2004-02",NA,NA,NA,NA,45,45,0,45,45,0
"2004-03",NA,NA,NA,NA,54,54,0,54,54,0
"2004-04",NA,NA,NA,NA,341,341,0,341,341,0
"2004-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"2004-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"2004-07",NA,NA,NA,NA,640,640,0,640,640,0
"2004-08",NA,NA,NA,NA,84,0,84,84,0,84
"2004-09",NA,NA,NA,NA,43,43,0,43,43,0
"2004-10",NA,NA,NA,NA,59,0,59,59,0,59
"2004-11",NA,NA,NA,NA,57,57,0,57,57,0
"2004-12",NA,NA,NA,NA,56,0,56,56,0,56
"2005-01",NA,NA,NA,NA,52,0,52,52,0,52
"2005-02",NA,NA,NA,NA,45,0,45,45,0,45
"2005-03",NA,NA,NA,NA,54,0,54,54,0,54
"2005-04",NA,NA,NA,NA,341,341,0,341,341,0
"2005-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"2005-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"2005-07",NA,NA,NA,NA,640,640,0,640,640,0
"2005-08",NA,NA,NA,NA,84,0,84,84,0,84
"2005-09",NA,NA,NA,NA,43,43,0,43,43,0
"2005-10",NA,NA,NA,NA,59,59,0,59,59,0
"2005-11",NA,NA,NA,NA,57,57,0,57,57,0
"2005-12",NA,NA,NA,NA,56,56,0,56,56,0
"2006-01",NA,NA,NA,NA,52,52,0,52,52,0
"2006-02",NA,NA,NA,NA,45,45,0,45,45,0
"2006-03",NA,NA,NA,NA,54,54,0,54,54,0
"2006-04",NA,NA,NA,NA,341,341,0,341,341,0
"2006-05",NA,NA,NA,NA,4554,4554,0,4554,4554,0
"2006-06",NA,NA,NA,NA,5053,5053,0,5053,5053,0
"2006-07",NA,NA,NA,NA,640,640,0,640,640,0
"2006-08",NA,NA,NA,NA,84,0,84,84,0,84
"2006-09",NA,NA,NA,NA,43,43,0,43,43,0
