"Date","34_AGG_IrrigDemand","34_AGG_IrrigSupply","34_AGG_IrrigShortage","34_AGG_IrrigSupDirectFlow","34_AGG_MunDemand","34_AGG_MunSupply","34_AGG_MunShortage","34_ADS012_IrrigDemand","34_ADS013_IrrigDemand","34_ADS014_IrrigDemand","34_ADS012_IrrigSupply","34_ADS013_IrrigSupply","34_ADS014_IrrigSupply","34_ADS012_IrrigShortage","34_ADS013_IrrigShortage","34_ADS014_IrrigShortage","34_ADS012_IrrigSupDirectFlow","34_ADS013_IrrigSupDirectFlow","34_ADS014_IrrigSupDirectFlow"
"1980-09",924,599.1978,324.8023,268.4776,NA,NA,NA,337,98,489,257.8754,43,298.3224,79.1246,55,190.6777,193.3913,0,75.0863
"1980-10",436,243.7107,192.2893,138.3491,NA,NA,NA,207,48,181,138.3491,7.3616,98,68.6509,40.6384,83,138.3491,0,0
"1980-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"1980-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"1981-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"1981-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"1981-03",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"1981-04",293,293,0,293,NA,NA,NA,2,0,291,2,0,291,0,0,0,2,0,291
"1981-05",1525,1525,0,1525,NA,NA,NA,456,271,798,456,271,798,0,0,0,456,271,798
"1981-06",2141.0001,2141.1998,2e-04,1213.313,NA,NA,NA,770.0001,247,1124,770.2,247,1123.9999,0,0,2e-04,445.6924,0,767.6206
"1981-07",1931.9999,616.2146,1315.7854,205.1014,NA,NA,NA,688.9999,206,1037,200.9577,50.3616,364.8954,488.0424,155.6384,672.1046,199.8376,0,5.2638
"1981-08",1661,138.3491,1522.6509,138.3491,NA,NA,NA,422,223,1016,138.3491,0,0,283.6509,223,1016,138.3491,0,0
"1981-09",961.0001,133.8862,827.1138,133.8862,NA,NA,NA,344,98,519.0001,133.8862,0,0,210.1138,98,519.0001,133.8862,0,0
"1981-10",328,237.4465,90.5535,237.3765,NA,NA,NA,148,35,145,148,0,89.4465,0,35,55.5535,148,0,89.3765
"1981-11",48,48,0,48,NA,NA,NA,0,0,48,0,0,48,0,0,0,0,0,48
"1981-12",49,49,0,49,NA,NA,NA,0,0,49,0,0,49,0,0,0,0,0,49
"1982-01",49,49,0,49,NA,NA,NA,0,0,49,0,0,49,0,0,0,0,0,49
"1982-02",44,44,0,44,NA,NA,NA,0,0,44,0,0,44,0,0,0,0,0,44
"1982-03",49,49,0,49,NA,NA,NA,0,0,49,0,0,49,0,0,0,0,0,49
"1982-04",235,235.0374,0,235,NA,NA,NA,68,11,156,68,11.0374,156,0,0,0,68,11,156
"1982-05",1548,1548.2,0,1548,NA,NA,NA,470,182,896.0001,470.2,182,896.0001,0,0,0,470,182,896.0001
"1982-06",2419,2419.1,0,2009.0179,NA,NA,NA,785,320,1314,785.1,320,1314,0,0,0,785,318.3517,905.6661
"1982-07",2181.9999,2181.9999,0,814.1077,NA,NA,NA,688.9999,193,1300,688.9999,193,1300,0,0,0,460.5489,0,353.5588
"1982-08",1243,1243,0,426.1388,NA,NA,NA,313,150,780,313,150,780,0,0,0,313,0,113.1388
"1982-09",819,819.1783,0,442.911,NA,NA,NA,298,86,435,298.08,86,435.0984,0,0,0,298,0,144.911
"1982-10",363,363.1984,0,298.1388,NA,NA,NA,185,43,135,185.1,43,135.0984,0,0,0,185,0,113.1388
"1982-11",30,30,0,30,NA,NA,NA,0,0,30,0,0,30,0,0,0,0,0,30
"1982-12",31,31,0,31,NA,NA,NA,0,0,31,0,0,31,0,0,0,0,0,31
"1983-01",31,31,0,31,NA,NA,NA,0,0,31,0,0,31,0,0,0,0,0,31
"1983-02",28,28,0,28,NA,NA,NA,0,0,28,0,0,28,0,0,0,0,0,28
"1983-03",31,31,0,31,NA,NA,NA,0,0,31,0,0,31,0,0,0,0,0,31
"1983-04",188,188,0,188,NA,NA,NA,127,21,40,127,21,40,0,0,0,127,21,40
"1983-05",1023.0001,1023.0001,0,1023.0001,NA,NA,NA,500.0001,117,406,500.0001,117,406,0,0,0,500.0001,117,406
"1983-06",2423,2423,0,2002.6661,NA,NA,NA,865,232,1326,865,232,1326,0,0,0,865,232,905.6661
"1983-07",2523.9999,2523.9999,0,1848.4301,NA,NA,NA,819,179,1525.9999,819,179,1525.9999,0,0,0,733.5751,179,935.855
"1983-08",1808,1808,0,899.3259,NA,NA,NA,522,192,1094,522,192,1094,0,0,0,460.5303,0,438.7955
"1983-09",1422,1421.9999,1e-04,605.0778,NA,NA,NA,341,98,983,341,98,982.9999,0,0,1e-04,341,0,264.0778
"1983-10",534,534.1,0,348.1388,NA,NA,NA,235,56,243,235.1,56,243,0,0,0,235,0,113.1388
"1983-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"1983-12",61,61,0,61,NA,NA,NA,0,0,61,0,0,61,0,0,0,0,0,61
"1984-01",61,61,0,61,NA,NA,NA,0,0,61,0,0,61,0,0,0,0,0,61
"1984-02",58,58,0,58,NA,NA,NA,0,0,58,0,0,58,0,0,0,0,0,58
"1984-03",61,61,0,61,NA,NA,NA,0,0,61,0,0,61,0,0,0,0,0,61
"1984-04",74,74.0394,0,74,NA,NA,NA,0,0,74,0,0,74.0394,0,0,0,0,0,74
"1984-05",1393.0001,1393.0197,0,1393.0001,NA,NA,NA,613.0001,143,637,613.0001,143,637.0197,0,0,0,613.0001,143,637
"1984-06",2479,2479,0,1865.6661,NA,NA,NA,713,247,1519,713,247,1519,0,0,0,713,247,905.6661
"1984-07",2267.0001,2267.0001,0,611.6324,NA,NA,NA,650,182,1435.0001,650,182,1435.0001,0,0,0,460.5489,0,151.0835
"1984-08",2030,1689.1898,340.9101,498.1389,NA,NA,NA,385,185,1460,385.1,185,1119.0898,0,0,340.9101,385,0,113.1388
"1984-09",1448,618.0088,829.9911,180.7488,NA,NA,NA,363,105,980.0001,257.5877,46,314.4211,105.4123,59,665.5788,133.8862,0,46.8625
"1984-10",153,153.1974,0,142,NA,NA,NA,46,11,96,46.16,11.0374,96,0,0,0,46,0,96
"1984-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"1984-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"1985-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"1985-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"1985-03",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"1985-04",102,102,0,102,NA,NA,NA,0,0,102,0,0,102,0,0,0,0,0,102
"1985-05",1219.9999,1220.08,0,1219.9999,NA,NA,NA,547.9999,128,544,548.08,128,544,0,0,0,547.9999,128,544
"1985-06",2206,2206,0,1978.6661,NA,NA,NA,842,231,1133,842,231,1133,0,0,0,842,231,905.6661
"1985-07",2167,2167.0002,0,730.5013,NA,NA,NA,676,255,1236,676,255,1236.0001,0,0,0,460.5489,0,269.9525
"1985-08",1939,1557.9292,381.0708,484.6054,NA,NA,NA,463,223,1253,463,223,871.9292,0,0,381.0708,371.4666,0,113.1388
"1985-09",444,355.6329,88.3671,308.6452,NA,NA,NA,176,50,218,176,22,157.6329,0,28,60.3671,176,0,132.6452
"1985-10",337,291.8849,45.1151,238.9415,NA,NA,NA,167,39,131,167,21,103.8849,0,18,27.1151,167,0,71.9415
"1985-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"1985-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"1986-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"1986-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"1986-03",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"1986-04",67,67,0,67,NA,NA,NA,0,0,67,0,0,67,0,0,0,0,0,67
"1986-05",956,956.3571,0,955.9999,NA,NA,NA,457,107,392,457.22,107.1372,392,0,0,0,457,107,392
"1986-06",2136,2136,0,2002.6661,NA,NA,NA,813,284,1039,813,284,1039,0,0,0,813,284,905.6661
"1986-07",1939,1938.9999,1e-04,777.2188,NA,NA,NA,569,160,1210,569,160,1209.9999,0,0,1e-04,460.5489,0,316.67
"1986-08",1499.9999,1500.0399,0,469.8888,NA,NA,NA,374,202,923.9999,374.04,202,923.9999,0,0,0,356.75,0,113.1388
"1986-09",413,413.12,0,386.9964,NA,NA,NA,172,50,191,172.12,50,191,0,0,0,172,23.9964,191
"1986-10",329,329.3968,0,329,NA,NA,NA,170,39,120,170.2,39,120.1968,0,0,0,170,39,120
"1986-11",30,30,0,30,NA,NA,NA,0,0,30,0,0,30,0,0,0,0,0,30
"1986-12",31,31,0,31,NA,NA,NA,0,0,31,0,0,31,0,0,0,0,0,31
"1987-01",31,31,0,31,NA,NA,NA,0,0,31,0,0,31,0,0,0,0,0,31
"1987-02",28,28,0,28,NA,NA,NA,0,0,28,0,0,28,0,0,0,0,0,28
"1987-03",31,31,0,31,NA,NA,NA,0,0,31,0,0,31,0,0,0,0,0,31
"1987-04",294,294.0873,0,294,NA,NA,NA,59,9,226,59,9.0873,226,0,0,0,59,9,226
"1987-05",1156,1156,0,1156,NA,NA,NA,526,150,480,526,150,480,0,0,0,526,150,480
"1987-06",2426,2426,0,2110.0473,NA,NA,NA,953,335,1138,953,335,1138,0,0,0,886.0294,318.3517,905.6661
"1987-07",2308.9999,2309.0999,1e-04,814.1077,NA,NA,NA,684.9999,341,1283,685.1,341,1282.9999,0,0,1e-04,460.5489,0,353.5589
"1987-08",1841,1841.14,0,373.068,NA,NA,NA,259,237,1345,259.14,237,1345,0,0,0,259,0,114.068
"1987-09",1022,638.6001,383.3998,219.233,NA,NA,NA,372,113,537,262.5877,47,329.0125,109.4123,66,207.9875,133.8862,0,85.3467
"1987-10",297,208.3896,88.6104,139.1966,NA,NA,NA,141,36,120,139.6406,3.3616,65.3874,1.3594,32.6384,54.6126,138.3491,0,0.8475
"1987-11",30,30,0,30,NA,NA,NA,0,0,30,0,0,30,0,0,0,0,0,30
"1987-12",31,31,0,31,NA,NA,NA,0,0,31,0,0,31,0,0,0,0,0,31
"1988-01",31,31,0,31,NA,NA,NA,0,0,31,0,0,31,0,0,0,0,0,31
"1988-02",29,29,0,29,NA,NA,NA,0,0,29,0,0,29,0,0,0,0,0,29
"1988-03",31,31,0,31,NA,NA,NA,0,0,31,0,0,31,0,0,0,0,0,31
"1988-04",119,119.0984,0,119,NA,NA,NA,30,4,85,30,4,85.0984,0,0,0,30,4,85
